title,author,length,rating
Dune, Frank Herbert, 21 hrs and 2 mins,4.5 out of 5 stars
Rich Dad Poor Dad: 20th Anniversary Edition, Robert T. Kiyosaki, 8 hrs and 22 mins,4.5 out of 5 stars
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People], Stephen R. Covey, 16 hrs and 4 mins,4.5 out of 5 stars
The Hidden Hindu 3, Akshat Gupta, 9 hrs and 17 mins,5 out of 5 stars
Essentialism, Greg McKeown, 6 hrs and 14 mins,4.5 out of 5 stars
The Complete Stories of Sherlock Holmes, Arthur Conan Doyle, 70 hrs and 48 mins,4.5 out of 5 stars
Coffee Can Investing, Saurabh Mukherjea, 5 hrs and 47 mins,4 out of 5 stars
Lessons in Chemistry, Bonnie Garmus, 11 hrs and 56 mins,4.5 out of 5 stars
Grit, Angela Duckworth, 9 hrs and 21 mins,4.5 out of 5 stars
"Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling, 20 hrs and 31 mins,5 out of 5 stars
To Kill a Mockingbird, Harper Lee, 12 hrs and 17 mins,4.5 out of 5 stars
Meluha Ke Mritunjay [The Immortals of Meluha], Amish Tripathi, 14 hrs and 45 mins,4.5 out of 5 stars
Make Time," Jake Knapp, John Zeratsky", 4 hrs and 58 mins,4.5 out of 5 stars
The Warren Buffett Way, Robert Hagstrom, 10 hrs and 31 mins,4.5 out of 5 stars
"India Since Independence, Part 1"," Bipin Chandra, Mridula Mukherjee, Aditya Mukherjee", 18 hrs and 13 mins,5 out of 5 stars
Discovery of India, Jawaharlal Nehru, 29 hrs and 4 mins,4.5 out of 5 stars
Meditation and Its Method, Swami Vivekananda, 5 hrs and 12 mins,5 out of 5 stars
21 Lessons for the 21st Century, Yuval Noah Harari, 11 hrs and 41 mins,4.5 out of 5 stars
The Secret of the Nagas, Amish Tripathi, 10 hrs and 9 mins,5 out of 5 stars
Think Like a Monk, Jay Shetty, 10 hrs and 54 mins,4.5 out of 5 stars
Outlive," Peter Attia, Bill Gifford", 17 hrs and 8 mins,5 out of 5 stars
War of Lanka, Amish Tripathi, 16 hrs and 20 mins,4.5 out of 5 stars
Project Hail Mary, Andy Weir, 16 hrs and 10 mins,5 out of 5 stars
Tools of Titans, Tim Ferriss, 22 hrs and 41 mins,4.5 out of 5 stars
The Greatest Secret, Rhonda Byrne, 6 hrs and 20 mins,4.5 out of 5 stars
Karma: A Yogi’s Guide to Crafting Your Own Destiny," Sadhguru, Leslie Howard", 8 hrs and 56 mins,4.5 out of 5 stars
"Harry Potter and the Chamber of Secrets, Book 2", J.K. Rowling, 9 hrs and 43 mins,5 out of 5 stars
Scion of Ikshvaku, Amish, 11 hrs and 35 mins,4.5 out of 5 stars
The Covenant of Water, Abraham Verghese, 31 hrs and 16 mins,5 out of 5 stars
A Brief History of Time, Stephen Hawking, 6 hrs and 57 mins,4.5 out of 5 stars
Hitchhiker's Guide to the Galaxy, Douglas Adams, 5 hrs and 51 mins,4.5 out of 5 stars
Raavan, Amish Tripathi, 11 hrs and 32 mins,4.5 out of 5 stars
Homo Deus, Yuval Noah Harari, 14 hrs and 53 mins,4.5 out of 5 stars
Subtle Art of Not Giving a F--k (Hindi Edition)," Mark Manson, Urmila Gupta - translator", 6 hrs and 18 mins,4.5 out of 5 stars
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind], Dr. Joseph Murphy, 8 hrs and 37 mins,5 out of 5 stars
Sita: Warrior of Mithila, Amish, 11 hrs and 10 mins,4.5 out of 5 stars
"Harry Potter and the Prisoner of Azkaban, Book 3", J.K. Rowling, 12 hrs and 3 mins,5 out of 5 stars
Common Stocks and Uncommon Profits, Philip A. Fisher, 2 hrs and 55 mins,4.5 out of 5 stars
Market Wizards," Jack D. Schwager, Bruce Kovner, Richard Dennis, Paul Tudor Jones, Michael Steinhardt, Ed Seykota, Marty Schwartz, Tom Baldwin", 14 hrs and 41 mins,5 out of 5 stars
Algorithms to Live By," Brian Christian, Tom Griffiths", 11 hrs and 50 mins,4.5 out of 5 stars
Why Has Nobody Told Me This Before?, Julie Smith, 7 hrs and 13 mins,4.5 out of 5 stars
Why We Sleep, Matthew Walker, 13 hrs and 31 mins,5 out of 5 stars
The Power of Habit, Charles Duhigg, 10 hrs and 53 mins,4.5 out of 5 stars
The Power of Habit (Hindi Edition), Charles Duhigg, 13 hrs and 23 mins,4.5 out of 5 stars
A Promised Land, Barack Obama, 29 hrs and 10 mins,4.5 out of 5 stars
The Oath of the Vayuputras (English), Amish Tripathi, 17 hrs and 12 mins,4.5 out of 5 stars
The Daily Stoic," Ryan Holiday, Stephen Hanselman", 10 hrs and 6 mins,4.5 out of 5 stars
"Harry Potter and the Order of the Phoenix, Book 5", J.K. Rowling, 29 hrs and 1 min,5 out of 5 stars
Sapiens, Yuval Noah Harari, 21 hrs and 42 mins,5 out of 5 stars
The Tatas," Girish Kuber, Vikrant Pande - translator", 9 hrs and 41 mins,5 out of 5 stars
Dune, Frank Herbert, 21 hrs and 2 mins,4.5 out of 5 stars
Rich Dad Poor Dad: 20th Anniversary Edition, Robert T. Kiyosaki, 8 hrs and 22 mins,4.5 out of 5 stars
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People], Stephen R. Covey, 16 hrs and 4 mins,4.5 out of 5 stars
The Hidden Hindu 3, Akshat Gupta, 9 hrs and 17 mins,5 out of 5 stars
Essentialism, Greg McKeown, 6 hrs and 14 mins,4.5 out of 5 stars
The Complete Stories of Sherlock Holmes, Arthur Conan Doyle, 70 hrs and 48 mins,4.5 out of 5 stars
Coffee Can Investing, Saurabh Mukherjea, 5 hrs and 47 mins,4 out of 5 stars
Lessons in Chemistry, Bonnie Garmus, 11 hrs and 56 mins,4.5 out of 5 stars
Grit, Angela Duckworth, 9 hrs and 21 mins,4.5 out of 5 stars
"Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling, 20 hrs and 31 mins,5 out of 5 stars
To Kill a Mockingbird, Harper Lee, 12 hrs and 17 mins,4.5 out of 5 stars
Meluha Ke Mritunjay [The Immortals of Meluha], Amish Tripathi, 14 hrs and 45 mins,4.5 out of 5 stars
Make Time," Jake Knapp, John Zeratsky", 4 hrs and 58 mins,4.5 out of 5 stars
The Warren Buffett Way, Robert Hagstrom, 10 hrs and 31 mins,4.5 out of 5 stars
"India Since Independence, Part 1"," Bipin Chandra, Mridula Mukherjee, Aditya Mukherjee", 18 hrs and 13 mins,5 out of 5 stars
Discovery of India, Jawaharlal Nehru, 29 hrs and 4 mins,4.5 out of 5 stars
Meditation and Its Method, Swami Vivekananda, 5 hrs and 12 mins,5 out of 5 stars
21 Lessons for the 21st Century, Yuval Noah Harari, 11 hrs and 41 mins,4.5 out of 5 stars
The Secret of the Nagas, Amish Tripathi, 10 hrs and 9 mins,5 out of 5 stars
Think Like a Monk, Jay Shetty, 10 hrs and 54 mins,4.5 out of 5 stars
Outlive," Peter Attia, Bill Gifford", 17 hrs and 8 mins,5 out of 5 stars
War of Lanka, Amish Tripathi, 16 hrs and 20 mins,4.5 out of 5 stars
Project Hail Mary, Andy Weir, 16 hrs and 10 mins,5 out of 5 stars
Tools of Titans, Tim Ferriss, 22 hrs and 41 mins,4.5 out of 5 stars
The Greatest Secret, Rhonda Byrne, 6 hrs and 20 mins,4.5 out of 5 stars
Karma: A Yogi’s Guide to Crafting Your Own Destiny," Sadhguru, Leslie Howard", 8 hrs and 56 mins,4.5 out of 5 stars
"Harry Potter and the Chamber of Secrets, Book 2", J.K. Rowling, 9 hrs and 43 mins,5 out of 5 stars
Scion of Ikshvaku, Amish, 11 hrs and 35 mins,4.5 out of 5 stars
The Covenant of Water, Abraham Verghese, 31 hrs and 16 mins,5 out of 5 stars
A Brief History of Time, Stephen Hawking, 6 hrs and 57 mins,4.5 out of 5 stars
Hitchhiker's Guide to the Galaxy, Douglas Adams, 5 hrs and 51 mins,4.5 out of 5 stars
Raavan, Amish Tripathi, 11 hrs and 32 mins,4.5 out of 5 stars
Homo Deus, Yuval Noah Harari, 14 hrs and 53 mins,4.5 out of 5 stars
Subtle Art of Not Giving a F--k (Hindi Edition)," Mark Manson, Urmila Gupta - translator", 6 hrs and 18 mins,4.5 out of 5 stars
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind], Dr. Joseph Murphy, 8 hrs and 37 mins,5 out of 5 stars
Sita: Warrior of Mithila, Amish, 11 hrs and 10 mins,4.5 out of 5 stars
"Harry Potter and the Prisoner of Azkaban, Book 3", J.K. Rowling, 12 hrs and 3 mins,5 out of 5 stars
Common Stocks and Uncommon Profits, Philip A. Fisher, 2 hrs and 55 mins,4.5 out of 5 stars
Market Wizards," Jack D. Schwager, Bruce Kovner, Richard Dennis, Paul Tudor Jones, Michael Steinhardt, Ed Seykota, Marty Schwartz, Tom Baldwin", 14 hrs and 41 mins,5 out of 5 stars
Algorithms to Live By," Brian Christian, Tom Griffiths", 11 hrs and 50 mins,4.5 out of 5 stars
Why Has Nobody Told Me This Before?, Julie Smith, 7 hrs and 13 mins,4.5 out of 5 stars
Why We Sleep, Matthew Walker, 13 hrs and 31 mins,5 out of 5 stars
The Power of Habit, Charles Duhigg, 10 hrs and 53 mins,4.5 out of 5 stars
The Power of Habit (Hindi Edition), Charles Duhigg, 13 hrs and 23 mins,4.5 out of 5 stars
A Promised Land, Barack Obama, 29 hrs and 10 mins,4.5 out of 5 stars
The Oath of the Vayuputras (English), Amish Tripathi, 17 hrs and 12 mins,4.5 out of 5 stars
The Daily Stoic," Ryan Holiday, Stephen Hanselman", 10 hrs and 6 mins,4.5 out of 5 stars
"Harry Potter and the Order of the Phoenix, Book 5", J.K. Rowling, 29 hrs and 1 min,5 out of 5 stars
Sapiens, Yuval Noah Harari, 21 hrs and 42 mins,5 out of 5 stars
The Tatas," Girish Kuber, Vikrant Pande - translator", 9 hrs and 41 mins,5 out of 5 stars
Dune, Frank Herbert, 21 hrs and 2 mins,4.5 out of 5 stars
Rich Dad Poor Dad: 20th Anniversary Edition, Robert T. Kiyosaki, 8 hrs and 22 mins,4.5 out of 5 stars
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People], Stephen R. Covey, 16 hrs and 4 mins,4.5 out of 5 stars
The Hidden Hindu 3, Akshat Gupta, 9 hrs and 17 mins,5 out of 5 stars
Essentialism, Greg McKeown, 6 hrs and 14 mins,4.5 out of 5 stars
The Complete Stories of Sherlock Holmes, Arthur Conan Doyle, 70 hrs and 48 mins,4.5 out of 5 stars
Coffee Can Investing, Saurabh Mukherjea, 5 hrs and 47 mins,4 out of 5 stars
Lessons in Chemistry, Bonnie Garmus, 11 hrs and 56 mins,4.5 out of 5 stars
Grit, Angela Duckworth, 9 hrs and 21 mins,4.5 out of 5 stars
"Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling, 20 hrs and 31 mins,5 out of 5 stars
To Kill a Mockingbird, Harper Lee, 12 hrs and 17 mins,4.5 out of 5 stars
Meluha Ke Mritunjay [The Immortals of Meluha], Amish Tripathi, 14 hrs and 45 mins,4.5 out of 5 stars
Make Time," Jake Knapp, John Zeratsky", 4 hrs and 58 mins,4.5 out of 5 stars
The Warren Buffett Way, Robert Hagstrom, 10 hrs and 31 mins,4.5 out of 5 stars
"India Since Independence, Part 1"," Bipin Chandra, Mridula Mukherjee, Aditya Mukherjee", 18 hrs and 13 mins,5 out of 5 stars
Discovery of India, Jawaharlal Nehru, 29 hrs and 4 mins,4.5 out of 5 stars
Meditation and Its Method, Swami Vivekananda, 5 hrs and 12 mins,5 out of 5 stars
